"Statistic Label","Year","Region Visited","UNIT","VALUE"
"Number of Trips by Irish Residents on Domestic Travel","2018","State","Thousand","10919"
"Number of Trips by Irish Residents on Domestic Travel","2018","Northern and Western","Thousand","2663"
"Number of Trips by Irish Residents on Domestic Travel","2018","Border","Thousand","1001"
"Number of Trips by Irish Residents on Domestic Travel","2018","West","Thousand","1662"
"Number of Trips by Irish Residents on Domestic Travel","2018","Southern","Thousand","5174"
"Number of Trips by Irish Residents on Domestic Travel","2018","Mid-West","Thousand","1090"
"Number of Trips by Irish Residents on Domestic Travel","2018","South-East","Thousand","1683"
"Number of Trips by Irish Residents on Domestic Travel","2018","South-West","Thousand","2401"
"Number of Trips by Irish Residents on Domestic Travel","2018","Eastern and Midland","Thousand","3082"
"Number of Trips by Irish Residents on Domestic Travel","2018","Dublin","Thousand","1700"
"Number of Trips by Irish Residents on Domestic Travel","2018","Mid-East","Thousand","854"
"Number of Trips by Irish Residents on Domestic Travel","2018","Midland","Thousand","527"
"Number of Trips by Irish Residents on Domestic Travel","2019","State","Thousand","11621"
"Number of Trips by Irish Residents on Domestic Travel","2019","Northern and Western","Thousand","3037"
"Number of Trips by Irish Residents on Domestic Travel","2019","Border","Thousand","1189"
"Number of Trips by Irish Residents on Domestic Travel","2019","West","Thousand","1848"
"Number of Trips by Irish Residents on Domestic Travel","2019","Southern","Thousand","5308"
"Number of Trips by Irish Residents on Domestic Travel","2019","Mid-West","Thousand","1197"
"Number of Trips by Irish Residents on Domestic Travel","2019","South-East","Thousand","1795"
"Number of Trips by Irish Residents on Domestic Travel","2019","South-West","Thousand","2316"
"Number of Trips by Irish Residents on Domestic Travel","2019","Eastern and Midland","Thousand","3276"
"Number of Trips by Irish Residents on Domestic Travel","2019","Dublin","Thousand","1763"
"Number of Trips by Irish Residents on Domestic Travel","2019","Mid-East","Thousand","1053"
"Number of Trips by Irish Residents on Domestic Travel","2019","Midland","Thousand","460"
"Number of Trips by Irish Residents on Domestic Travel","2020","State","Thousand","7721"
"Number of Trips by Irish Residents on Domestic Travel","2020","Northern and Western","Thousand","2222"
"Number of Trips by Irish Residents on Domestic Travel","2020","Border","Thousand","887"
"Number of Trips by Irish Residents on Domestic Travel","2020","West","Thousand","1335"
"Number of Trips by Irish Residents on Domestic Travel","2020","Southern","Thousand","3659"
"Number of Trips by Irish Residents on Domestic Travel","2020","Mid-West","Thousand","881"
"Number of Trips by Irish Residents on Domestic Travel","2020","South-East","Thousand","1069"
"Number of Trips by Irish Residents on Domestic Travel","2020","South-West","Thousand","1709"
"Number of Trips by Irish Residents on Domestic Travel","2020","Eastern and Midland","Thousand","1840"
"Number of Trips by Irish Residents on Domestic Travel","2020","Dublin","Thousand","892"
"Number of Trips by Irish Residents on Domestic Travel","2020","Mid-East","Thousand","564"
"Number of Trips by Irish Residents on Domestic Travel","2020","Midland","Thousand","384"
"Number of Trips by Irish Residents on Domestic Travel","2021","State","Thousand","5663"
"Number of Trips by Irish Residents on Domestic Travel","2021","Northern and Western","Thousand","1558"
"Number of Trips by Irish Residents on Domestic Travel","2021","Border","Thousand","610"
"Number of Trips by Irish Residents on Domestic Travel","2021","West","Thousand","947"
"Number of Trips by Irish Residents on Domestic Travel","2021","Southern","Thousand","2581"
"Number of Trips by Irish Residents on Domestic Travel","2021","Mid-West","Thousand","531"
"Number of Trips by Irish Residents on Domestic Travel","2021","South-East","Thousand","795"
"Number of Trips by Irish Residents on Domestic Travel","2021","South-West","Thousand","1255"
"Number of Trips by Irish Residents on Domestic Travel","2021","Eastern and Midland","Thousand","1524"
"Number of Trips by Irish Residents on Domestic Travel","2021","Dublin","Thousand","783"
"Number of Trips by Irish Residents on Domestic Travel","2021","Mid-East","Thousand","491"
"Number of Trips by Irish Residents on Domestic Travel","2021","Midland","Thousand","250"
"Number of Trips by Irish Residents on Domestic Travel","2022","State","Thousand","13274"
"Number of Trips by Irish Residents on Domestic Travel","2022","Northern and Western","Thousand","3472"
"Number of Trips by Irish Residents on Domestic Travel","2022","Border","Thousand","1606"
